x,y,name
2015.655031,1.33363E+13,Radeon R9 370X
2015.88501,1.56556E+13,Radeon R9 380X
2016.405202,1.34505E+13,GeForce GTX 1080
2016.443532,1.54842E+13,GeForce GTX 1070
2016.495551,2.31326E+13,Radeon RX 480 8GB
2016.550308,1.32862E+13,GeForce GTX 1060
2016.588638,8.31075E+12,Titan X
2016.594114,2.50593E+13,Radeon RX 470
2016.632444,1.79687E+13,GeForce GTX 1060 3GB
2016.818617,1.39665E+13,GeForce GTX 1050 Ti
2016.818617,1.55113E+13,GeForce GTX 1050
2017.190965,1.50368E+13,GeForce 1080 Ti
2017.264887,9.39239E+12,Titan Xp
2017.297741,2.49931E+13,Radeon RX 580
2017.297741,2.79432E+13,Radeon RX 570
2017.297741,1.22272E+13,Radeon RX 560
2017.303217,1.64812E+13,GeForce GTX 1080 (11 Gbps)
2017.303217,1.35621E+13,GeForce GTX 1060 (9 Gbps)
2017.303217,1.42081E+13,Radeon RX 550
2017.377139,1.32226E+13,GeForce GT 1030
2017.601643,1.82165E+13,Radeon RX Vega 64 Liquid
2017.601643,2.35247E+13,Radeon RX Vega 64
2017.620808,2.44935E+13,Radeon RX Vega 56
2017.754962,1.90159E+13,GeForce GTX 1070 Ti
2018.195756,1.35016E+13,GeForce GT 1030 D4
2018.721424,1.27404E+13,GeForce RTX 2080 Ti
2018.721424,1.36319E+13,GeForce RTX 2080
2018.795346,1.41585E+13,GeForce RTX 2070
2018.874743,2.41493E+13,Radeon RX 590
2019.019849,1.78282E+13,GeForce RTX 2060
2019.145791,1.87958E+13,GeForce GTX 1660 Ti
2019.181383,1.90749E+13,Radeon VII
2019.200548,2.21396E+13,GeForce GTX 1660
2019.310062,1.9316E+13,GeForce GTX 1650
2019.5154,2.17219E+13,Radeon RX 5700 XT
2019.5154,2.0694E+13,Radeon RX 5700
2019.520876,1.73587E+13,GeForce RTX 2060 Super
2019.559206,1.53866E+13,GeForce RTX 2080 Super
2019.827515,2.11728E+13,GeForce GTX 1660 Super
2019.893224,2.67878E+13,GeForce GTX 1650 Super
2019.947981,2.96543E+13,Radeon RX 5500 XT
2020.057495,2.54178E+13,Radeon RX 5600 XT
2020.251882,1.88643E+13,GeForce GTX 1650 (G6)
2020.5859,2.34871E+13,GeForce RTX 3090
2020.670773,4.01632E+13,GeForce RTX 3070
2020.714579,4.20151E+13,GeForce RTX 3080
2020.826831,2.27536E+13,Radeon RX 6900 XT
2020.826831,3.1522E+13,Radeon RX 6800 XT
2020.826831,2.75459E+13,Radeon RX 6800
2020.919918,4.00493E+13,GeForce RTX 3060 Ti
2021.034908,3.87173E+13,GeForce RTX 3060
2021.1718,2.75887E+13,Radeon RX 6700 XT
2021.415469,2.84395E+13,GeForce RTX 3080 Ti
2021.415469,3.63105E+13,GeForce RTX 3070 Ti
2021.57974,2.79815E+13,Radeon RX 6600 XT
2021.785079,3.10122E+13,Radeon RX 6600
2021.826146,2.4959E+13,Radeon RX 6900 XT LC
